Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Danuel House Jr. (17225425),Danuel House Jr.,17225425,SG/SF/F/G/UTIL,4500,HOU@DEN 04/24/2021 10:00PM ET,HOU,19.05
SF/PF,Patrick Williams (17225434),Patrick Williams,17225434,SF/PF/F/UTIL,4400,CHI@MIA 04/24/2021 08:00PM ET,CHI,20.14
PF,Rudy Gay (17225438),Rudy Gay,17225438,PF/F/UTIL,4400,SA@NO 04/24/2021 08:00PM ET,SA,22.22
SG/SF,Jeremy Lamb (17225444),Jeremy Lamb,17225444,SG/SF/F/G/UTIL,4300,DET@IND 04/24/2021 07:00PM ET,IND,20.42
PG,Austin Rivers (17225449),Austin Rivers,17225449,PG/G/UTIL,4300,HOU@DEN 04/24/2021 10:00PM ET,DEN,14.24
SF,Tim Hardaway Jr. (17225461),Tim Hardaway Jr.,17225461,SF/F/UTIL,4200,LAL@DAL 04/24/2021 08:30PM ET,DAL,24.47
PF/C,Oshae Brissett (17225452),Oshae Brissett,17225452,PF/C/F/UTIL,4200,DET@IND 04/24/2021 07:00PM ET,IND,14.21
SG/SF,Sterling Brown (17225456),Sterling Brown,17225456,SG/SF/F/G/UTIL,4200,HOU@DEN 04/24/2021 10:00PM ET,HOU,18.28
PF/C,Lauri Markkanen (17225469),Lauri Markkanen,17225469,PF/C/F/UTIL,4100,CHI@MIA 04/24/2021 08:00PM ET,CHI,24.83
C,Goga Bitadze (17225476),Goga Bitadze,17225476,C/UTIL,4100,DET@IND 04/24/2021 07:00PM ET,IND,13.09
PG,Isaiah Thomas (17225473),Isaiah Thomas,17225473,PG/G/UTIL,4100,SA@NO 04/24/2021 08:00PM ET,NO,12
SG/SF,PJ Dozier (17225464),PJ Dozier,17225464,SG/SF/F/G/UTIL,4100,HOU@DEN 04/24/2021 10:00PM ET,DEN,16.60
C,Daniel Theis (17225487),Daniel Theis,17225487,C/UTIL,4000,CHI@MIA 04/24/2021 08:00PM ET,CHI,21.26
SG,Frank Jackson (17225489),Frank Jackson,17225489,SG/G/UTIL,4000,DET@IND 04/24/2021 07:00PM ET,DET,12.74
PG/SG,Jaylen Nowell (17225483),Jaylen Nowell,17225483,PG/SG/G/UTIL,4000,MIN@UTA 04/24/2021 09:00PM ET,MIN,16.65
SG/SF,Lonnie Walker IV (17225478),Lonnie Walker IV,17225478,SG/SF/F/G/UTIL,4000,SA@NO 04/24/2021 08:00PM ET,SA,18.75
C,Naz Reid (17225492),Naz Reid,17225492,C/UTIL,3900,MIN@UTA 04/24/2021 09:00PM ET,MIN,21.77
SG/SF,Garrett Temple (17225500),Garrett Temple,17225500,SG/SF/F/G/UTIL,3800,CHI@MIA 04/24/2021 08:00PM ET,CHI,17.45
SF/PF,Doug McDermott (17225496),Doug McDermott,17225496,SF/PF/F/UTIL,3800,DET@IND 04/24/2021 07:00PM ET,IND,20.57
C,Drew Eubanks (17225494),Drew Eubanks,17225494,C/UTIL,3800,SA@NO 04/24/2021 08:00PM ET,SA,14.49
PG,Armoni Brooks (17225505),Armoni Brooks,17225505,PG/G/UTIL,3800,HOU@DEN 04/24/2021 10:00PM ET,HOU,15.91
PG/SG,Monte Morris (17225527),Monte Morris,17225527,PG/SG/G/UTIL,3800,HOU@DEN 04/24/2021 10:00PM ET,DEN,19.99
PF/C,Maxi Kleber (17225510),Maxi Kleber,17225510,PF/C/F/UTIL,3700,LAL@DAL 04/24/2021 08:30PM ET,DAL,18.79
PG/SG,Alex Caruso (17225519),Alex Caruso,17225519,PG/SG/G/UTIL,3700,LAL@DAL 04/24/2021 08:30PM ET,LAL,15.85
SG/SF,Edmond Sumner (17225514),Edmond Sumner,17225514,SG/SF/F/G/UTIL,3700,DET@IND 04/24/2021 07:00PM ET,IND,11.5
C,Guillermo Hernangomez (17225508),Guillermo Hernangomez,17225508,C/UTIL,3700,SA@NO 04/24/2021 08:00PM ET,NO,17.78
PF,JaMychal Green (17225534),JaMychal Green,17225534,PF/F/UTIL,3700,HOU@DEN 04/24/2021 10:00PM ET,DEN,17.48
SF,Hamidou Diallo (17225537),Hamidou Diallo,17225537,SF/F/UTIL,3600,DET@IND 04/24/2021 07:00PM ET,DET,22.21
SF/PF,Kelan Martin (17225574),Kelan Martin,17225574,SF/PF/F/UTIL,3600,DET@IND 04/24/2021 07:00PM ET,IND,4.79
PF/C,Zeke Nnaji (17225523),Zeke Nnaji,17225523,PF/C/F/UTIL,3600,HOU@DEN 04/24/2021 10:00PM ET,DEN,6.10
PF,KJ Martin Jr. (17225531),KJ Martin Jr.,17225531,PF/F/UTIL,3600,HOU@DEN 04/24/2021 10:00PM ET,HOU,16.20
