slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
holidjr01,Jrue Holiday,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1601,4,10,2,2,2,2,2,3,7,1,1,2,0,13.5
osmande01,Cedi Osman,CLEVELAND CAVALIERS,HOME,NEW ORLEANS PELICANS,LOSS,1713,7,11,0,2,1,1,0,3,7,1,1,4,1,13.2
loveke01,Kevin Love,CLEVELAND CAVALIERS,HOME,NEW ORLEANS PELICANS,LOSS,1867,6,17,5,14,2,3,1,4,3,0,1,1,0,12.8
grahade01,Devonte' Graham,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,LOSS,1891,5,13,5,12,1,2,0,2,7,1,1,3,0,12.7
portibo01,Bobby Portis,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1409,6,12,4,6,0,0,1,9,1,1,0,2,1,12.7
nunnke01,Kendrick Nunn,MIAMI HEAT,AWAY,PORTLAND TRAIL BLAZERS,WIN,1945,6,12,1,4,2,2,0,3,4,1,1,1,2,12.6
jonesty01,Tyus Jones,MEMPHIS GRIZZLIES,HOME,INDIANA PACERS,LOSS,981,5,8,2,3,0,0,1,1,3,1,0,0,0,12.5
jacksfr01,Frank Jackson,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,1381,4,10,1,4,7,7,1,2,0,1,0,1,0,11.9
walkeke02,Kemba Walker,BOSTON CELTICS,AWAY,DENVER NUGGETS,WIN,1990,6,15,0,7,2,2,0,5,6,1,1,1,1,11.9
connapa01,Pat Connaughton,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1046,4,4,3,3,0,0,1,3,2,0,0,1,0,11.8
forbebr01,Bryn Forbes,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1406,5,10,2,5,1,2,0,3,2,3,0,1,1,11.5
williro04,Robert Williams,BOSTON CELTICS,AWAY,DENVER NUGGETS,WIN,1598,5,6,0,0,0,0,3,5,1,1,2,2,3,11.3
edwaran01,Anthony Edwards,MINNESOTA TIMBERWOLVES,HOME,CHICAGO BULLS,WIN,2149,5,14,2,5,3,3,0,5,2,3,0,2,0,11.1
cartewe01,Wendell Carter,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,1630,3,7,0,2,2,3,3,4,2,2,2,1,0,11.0
smartma01,Marcus Smart,BOSTON CELTICS,AWAY,DENVER NUGGETS,WIN,2040,4,11,2,6,4,5,1,3,5,0,0,0,4,11.0
paytoel01,Elfrid Payton,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,1019,5,7,1,2,0,0,1,3,3,0,0,1,0,10.8
kanteen01,Enes Kanter,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,LOSS,1174,5,5,0,0,0,0,3,5,0,0,0,1,1,10.7
jacksre01,Reggie Jackson,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,1712,4,8,0,1,4,4,0,5,7,0,1,4,2,10.3
wanambr01,Brad Wanamaker,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,LOSS,1656,6,11,0,2,1,1,0,3,5,0,1,2,2,10.0
bartowi01,Will Barton,DENVER NUGGETS,HOME,BOSTON CELTICS,LOSS,2050,4,11,1,3,4,5,2,4,3,1,0,2,1,9.8
finnedo01,Dorian Finney-Smith,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,2016,4,7,1,4,0,0,2,5,3,0,1,1,2,9.6
